board,tempP1,,,,,
9,25,1000,828.298,-0.323012,-1.30085,43590.3
9,26,1015,838.392,-0.324535,-1.50984,43059.1
9,27,925,765.326,-0.360575,-1.69375,43019.1
9,28,970,800.877,-0.364944,0.0779404,44211.3
9,29,895,731.023,-0.362396,-0.942366,43393.6
9,30,895,748.406,-0.415992,-0.888464,43571.2
9,31,895,732.345,-0.39087,0.45686,44330.7
10,0,865,747.824,-0.351655,0.524706,44395.7
10,1,865,768.546,-0.348027,-0.237307,43814.6
10,2,865,765.273,-0.348185,0.719426,44453.8
10,3,865,746.441,-0.291519,0.7649,44669.7
10,4,940,825.771,-0.346578,-1.41039,42737.3
10,5,985,881.427,-0.309659,-1.00922,43412.1
10,6,940,848.958,-0.317697,-1.52584,43186.3
10,7,910,809.157,-0.344779,-1.46498,42814.5
10,8,880,756.401,-0.334258,-0.706305,43454.3
10,9,910,823.699,-0.354885,-1.3127,42993.2
10,10,910,818.804,-0.331331,-1.15439,43214.4
10,11,925,821.254,-0.352433,-0.0459547,43849.3
10,12,835,708.853,-0.378994,-2.3836,42305.9
10,13,865,741.421,-0.388685,-1.80889,42850.6
10,14,910,808.662,-0.360506,-1.7099,42634.8
10,15,880,779.753,-0.394356,-1.39515,42989.2
10,16,880,767.421,-0.357912,-1.62565,43350.7
10,17,880,769.033,-0.347996,-1.77553,42984.2
10,18,910,806.877,-0.362619,-1.66737,42769.9
10,19,925,798.507,-0.330229,-1.72719,42463.2
10,20,925,828.591,-0.370857,-1.98164,42334.6
10,21,955,875.969,-0.36285,-1.62893,42843.7
10,22,970,843.93,-0.284076,-1.18057,42678.2
10,23,895,805.184,-0.367659,-1.24586,42952.3
10,24,925,802.332,-0.331162,-1.77978,42888.8
10,25,985,882.149,-0.319181,-0.76285,43386.3
10,26,1000,875.424,-0.286845,-1.1285,42783.3
10,27,955,815.187,-0.274292,-0.725425,43377.1
10,28,925,788.234,-0.309105,-0.211415,43755.5
10,29,880,773.562,-0.330515,-0.847069,43076.3
10,30,895,795.468,-0.351807,0.0855473,43802.1
10,31,880,738.449,-0.329687,0.588035,44031.4
11,0,880,780.739,-0.367949,0.276336,44017.8
11,1,880,790.187,-0.359826,-0.0670912,43856.9
11,2,955,850.285,-0.319244,1.20106,44647.3
11,3,910,793.966,-0.356585,0.728134,44623.6
11,4,940,839.071,-0.342849,-1.4036,42905.3
11,5,970,886.586,-0.299949,-0.903088,43334.1
11,6,955,864.924,-0.332647,-0.960159,43474.6
